Unnamed: 0,date,S308.DS_FLOW_cmd
7866,2011-07-17,-689934.30403968
7867,2011-07-18,-17860.001487552
7868,2011-07-19,-433043.87168448
7869,2011-07-20,-193279.46815296
7870,2011-07-21,-114989.05067328
7871,2011-07-22,-8318.356857216
7872,2011-07-23,-406131.54067584
7873,2011-07-24,-286249.33891008
7874,2011-07-25,-232424.6768928
7875,2011-07-26,-298482.21664128
7876,2011-07-27,-829389.11017536
7877,2011-07-28,-1064260.3626144
7878,2011-07-29,-26912.33100864
7879,2011-07-30,-20795.89214304
7880,2011-07-31,-300928.79218752
7881,2011-08-01,-171260.2882368
7882,2011-08-02,288695.91445632
7883,2011-08-03,-296035.64109504
7884,2011-08-04,70950.69084096
7885,2011-08-05,36698.6331936
7886,2011-08-06,112542.47512704
7887,2011-08-07,291142.49000256
7888,2011-08-08,168813.71269056
7889,2011-08-09,124775.35285824
7890,2011-08-10,200619.19479168
7891,2011-08-11,-92969.87075712
7892,2011-08-12,-31805.48210112
7893,2011-08-13,92969.87075712
7894,2011-08-14,178600.01487552
7895,2011-08-15,78290.41747968
7896,2011-08-16,156580.83495936
7897,2011-08-17,-176153.43932928
7898,2011-08-18,-254443.85680896
7899,2011-08-19,-530906.89353408
7900,2011-08-20,-146794.5327744
7901,2011-08-21,5627.123756352
7902,2011-08-22,51378.08647104
7903,2011-08-23,-411024.69176832
7904,2011-08-24,-215298.64806912
7905,2011-08-25,29358.90655488
7906,2011-08-26,-163920.56159808
7907,2011-08-27,-342520.5764736
7908,2011-08-28,-366986.331936
7909,2011-08-29,7584.384193344
7910,2011-08-30,-63610.96420224
7911,2011-08-31,146794.5327744
7912,2011-09-01,95416.44630336
7913,2011-09-02,-276463.03672512
7914,2011-09-03,51378.08647104
7915,2011-09-04,41591.78428608
7916,2011-09-05,112542.47512704
7917,2011-09-06,83183.56857216
7918,2011-09-07,41591.78428608
7919,2011-09-08,-151687.68386688
7920,2011-09-09,-344967.15201984
7921,2011-09-10,-1083832.96698432
7922,2011-09-11,-883213.77219264
7923,2011-09-12,-959057.61412608
7924,2011-09-13,-900339.80101632
