Unnamed: 0,date,S65E_S_FLOW_cmd
6891,2008-11-14,674790.001408454
6892,2008-11-15,607484.708131392
6893,2008-11-16,541622.894426611
6894,2008-11-17,578639.582441222
6895,2008-11-18,255544.815804768
6896,2008-11-19,316170.957840595
6897,2008-11-20,209451.332513606
6898,2008-11-21,206686.702146355
6899,2008-11-22,312256.436966611
6900,2008-11-23,266432.076985536
6901,2008-11-24,184594.124963808
6902,2008-11-25,221194.895135558
6903,2008-11-26,219408.894986803
6904,2008-11-27,201915.879831187
6905,2008-11-28,422425.733813798
6906,2008-11-29,199322.509752173
6907,2008-11-30,412541.568606989
6908,2008-12-01,267337.309937645
6909,2008-12-02,492422.260191725
6910,2008-12-03,307877.066738842
6911,2008-12-04,511505.549452397
6912,2008-12-05,520778.070772646
6913,2008-12-06,275435.474995699
6914,2008-12-07,356294.796798931
6915,2008-12-08,356955.372196416
6916,2008-12-09,381616.853702515
6917,2008-12-10,287301.366394963
6918,2008-12-11,483223.136137862
6919,2008-12-12,549036.018331718
6920,2008-12-13,765851.543239507
6921,2008-12-14,667156.685704186
6922,2008-12-15,584560.295263123
6923,2008-12-16,428273.049369312
6924,2008-12-17,679487.426457235
6925,2008-12-18,547812.730558598
6926,2008-12-19,619081.47622057
6927,2008-12-20,242186.513322298
6928,2008-12-21,43500.1132121472
6929,2008-12-22,200227.742704282
6930,2008-12-23,245269.19851056
6931,2008-12-24,154819.300566067
6932,2008-12-25,365371.592075482
6933,2008-12-26,213732.839719526
6934,2008-12-27,213145.661588429
6935,2008-12-28,336746.658184474
6936,2008-12-29,220460.922471686
6937,2008-12-30,242822.62296432
6938,2008-12-31,204631.578687514
6939,2009-01-01,221366.155423795
6940,2009-01-02,356441.591331706
6941,2009-01-03,396981.348132902
6942,2009-01-04,237171.033452506
6943,2009-01-05,202918.975805146
6944,2009-01-06,349028.467426598
6945,2009-01-07,349566.714046771
6946,2009-01-08,342251.453163514
6947,2009-01-09,344012.987556806
6948,2009-01-10,516007.248457478
6949,2009-01-11,289919.20222944
6950,2009-01-12,511897.001539795
6951,2009-01-13,583483.802022778
6952,2009-01-14,481143.546923558
6953,2009-01-15,87905.4593764032
6954,2009-01-16,290065.996762214
6955,2009-01-17,272964.433693997
6956,2009-01-18,270664.652680531
6957,2009-01-19,635082.080292979
6958,2009-01-20,322801.177570906
6959,2009-01-21,370558.33223351
6960,2009-01-22,340122.932438285
6961,2009-01-23,296011.175339578
6962,2009-01-24,229806.841058323
6963,2009-01-25,158171.109064416
6964,2009-01-26,751759.268093165
6965,2009-01-27,321847.013107872
6966,2009-01-28,441215.434008922
6967,2009-01-29,378020.387649542
6968,2009-01-30,604891.338052378
6969,2009-01-31,461057.161688928
6970,2009-02-01,226846.484647373
6971,2009-02-02,458145.736788902
6972,2009-02-03,387537.566524416
6973,2009-02-04,76431.0200645376
6974,2009-02-05,0.0
6975,2009-02-06,0.0
6976,2009-02-07,869488.483378234
6977,2009-02-08,445594.804236691
6978,2009-02-09,338459.261066842
6979,2009-02-10,402584.006133792
6980,2009-02-11,274603.639309978
6981,2009-02-12,304941.176083354
6982,2009-02-13,553562.183092262
6983,2009-02-14,451858.037635066
6984,2009-02-15,543482.291841754
6985,2009-02-16,179162.727251155
6986,2009-02-17,289062.900788256
6987,2009-02-18,519970.700842387
6988,2009-02-19,446891.489276198
6989,2009-02-20,359328.550476269
6990,2009-02-21,517426.262274298
6991,2009-02-22,286078.078621843
6992,2009-02-23,383525.182628582
6993,2009-02-24,263936.569928371
6994,2009-02-25,326568.903912115
6995,2009-02-26,371855.017273018
6996,2009-02-27,300096.956501798
6997,2009-02-28,321773.615841485
6998,2009-03-01,330140.904209626
6999,2009-03-02,336526.466385312
7000,2009-03-03,176569.357172141
7001,2009-03-04,281502.982350374
7002,2009-03-05,306042.135079162
7003,2009-03-06,130793.92870199
7004,2009-03-07,301075.586720294
7005,2009-03-08,281380.653573062
7006,2009-03-09,153449.218260173
7007,2009-03-10,344355.50813328
7008,2009-03-11,309883.258686758
7009,2009-03-12,317369.779858253
7010,2009-03-13,316391.149639757
7011,2009-03-14,320794.985622989
7012,2009-03-15,342104.658630739
7013,2009-03-16,165217.246637587
7014,2009-03-17,287130.106106726
7015,2009-03-18,315045.533089325
7016,2009-03-19,437374.310401325
7017,2009-03-20,273062.296715846
7018,2009-03-21,270028.543038509
7019,2009-03-22,269906.214261197
7020,2009-03-23,426315.78893232
7021,2009-03-24,152250.396242515
7022,2009-03-25,380466.963195782
7023,2009-03-26,294298.57245721
7024,2009-03-27,104786.830645459
7025,2009-03-28,273576.077580557
7026,2009-03-29,1453901.98410858
7027,2009-03-30,1701666.68967631
7028,2009-03-31,618543.229600397
7029,2009-04-01,1440666.01040342
7030,2009-04-02,388051.347389126
7031,2009-04-03,442071.735450106
7032,2009-04-04,439233.707816467
7033,2009-04-05,373078.305046138
7034,2009-04-06,547250.018182963
7035,2009-04-07,244779.883401312
7036,2009-04-08,468176.696528487
7037,2009-04-09,414939.212642304
7038,2009-04-10,63855.621756864
7039,2009-04-11,454647.133757779
7040,2009-04-12,436738.200759302
7041,2009-04-13,254688.514363584
7042,2009-04-14,433459.789527341
7043,2009-04-15,131699.161654099
7044,2009-04-16,483100.80736055
7045,2009-04-17,512728.837225517
7046,2009-04-18,459442.42182841
7047,2009-04-19,127197.462649018
7048,2009-04-20,126536.887251533
7049,2009-04-21,129374.914885171
7050,2009-04-22,397446.197486688
7051,2009-04-23,393531.676612704
7052,2009-04-24,114450.804053107
7053,2009-04-25,413006.417960774
7054,2009-04-26,171260.2882368
7055,2009-04-27,330458.959030637
7056,2009-04-28,385384.580043725
7057,2009-04-29,140922.751463424
7058,2009-04-30,142121.573481082
7059,2009-05-01,679169.371636224
7060,2009-05-02,974984.820932103
7061,2009-05-03,897036.924028896
7062,2009-05-04,699011.09931623
7063,2009-05-05,861757.304652115
7064,2009-05-06,965663.368100928
7065,2009-05-07,795577.436126323
7066,2009-05-08,908804.95240631
7067,2009-05-09,898994.184465888
7068,2009-05-10,389201.237895859
7069,2009-05-11,405030.581680032
7070,2009-05-12,466708.751200742
7071,2009-05-13,449411.462088826
7072,2009-05-14,1060150.11569672
7073,2009-05-15,977676.054032966
7074,2009-05-16,695757.153839731
7075,2009-05-17,308170.65580439
7076,2009-05-18,865843.085814336
7077,2009-05-19,1163224.34345981
7078,2009-05-20,1376100.88173815
7079,2009-05-21,2086268.36554524
7080,2009-05-22,2705154.11572211
7081,2009-05-23,2787726.04040771
7082,2009-05-24,2756214.14737213
7083,2009-05-25,2993287.31780279
7084,2009-05-26,4997179.48470613
7085,2009-05-27,6704399.9008724
7086,2009-05-28,10173228.1075979
7087,2009-05-29,11203016.2207657
7088,2009-05-30,11819553.2584182
7089,2009-05-31,11141068.9279349
7090,2009-06-01,11090473.7456387
7091,2009-06-02,10981332.0105209
7092,2009-06-03,9628473.59647206
7093,2009-06-04,9494401.25653811
7094,2009-06-05,10297416.282325
7095,2009-06-06,10244032.003906
7096,2009-06-07,8217337.75291175
7097,2009-06-08,9204310.79402043
7098,2009-06-09,9933610.49859911
7099,2009-06-10,9099499.49761951
7100,2009-06-11,8318063.26815045
7101,2009-06-12,8384561.19149726
7102,2009-06-13,8539698.54688433
7103,2009-06-14,8358211.57286425
7104,2009-06-15,6209604.46240082
7105,2009-06-16,6559636.02580138
7106,2009-06-17,7309119.97863654
7107,2009-06-18,5983198.36135177
7108,2009-06-19,6256603.17864409
7109,2009-06-20,6440879.24878689
7110,2009-06-21,5931869.20639165
